English,German
a black and white dog is running through the water while holding something red in its mouth,ein hund mit schwarz-weißem fell läuft durch wasser und hält dabei etwas rotes in seiner schnauze
a young boy excitedly shoots a basketball,ein junge wirft aufgeregt einen basketball
a surfer is riding a wave in a large body of water,ein surfer reitet eine welle auf einem großen gewässer
a runner with one green shoe and one white shoe runs uphill,ein läufer mit einem grünen schuh und einem weißen schuh läuft bergauf
a group of people in white shirts are jogging,eine gruppe von menschen mit weißen oberteilen joggt
there is a picture of a green white black and red flag,es ist ein bild einer grünen weißen schwarzen und roten flagge zu sehen
a group of people walk up a ramp on a cloudy day,eine gruppe leute geht zu fuß eine rampe hoch an einem bewölkten tag
a man and his sons have come to a small pond of water,ein mann und seine söhne sind an ein kleines wasserbecken gekommen
a boy jumps onto a large pile of leaves while a group of children and a woman watch,ein junge springt in einen großen laubhaufen während eine gruppe kinder und eine frau zusehen
a man in an alleyway getting ready to throw an object up to someone above,ein mann in einer gasse macht sich bereit jemandem über ihm einen gegenstand zuzuwerfen
two people in outdated clothing posing in front of a fast food counter,zwei leute in altmodischer kleidung posieren vor einer imbisstheke
a bike rider jumping the hill on his bicycle,ein fahrradfahrer springt mit seinem fahrrad über den hügel
male and female are jumping and grabbing at each other in public place,ein mann und eine frau springen auf einem öffentlichen platz und greifen nacheinander
a group of people are sitting in a circle enjoying themselves,eine gruppe sitzt in einem kreis und lässt es sich gut gehen
a man in a striped shirt plays the drums,ein mann in einem gestreiften hemd spielt schlagzeug
a teenager is attempting a skateboarding trick in an urban area,ein jugendlicher versucht ein kunststück mit dem skateboard in einem städtischen gebiet
a man with glasses a coat and scarf stands in front of a blue wall with an open book,ein mann mit brille mantel und schal steht mit einem offenen buch vor einer blauen wand
a person doing a bicycle trick over a wooden ramp,eine person macht mit einem fahrrad ein kunststück über einer holzrampe
a guy pushes cart full of water in bags on the travelator,ein mann schiebt einen karren voll mit in tüten abgefülltem wasser auf den rollsteig
several dogs are running outside with two vehicles in the background,mehrere hunde rennen im freien im hintergrund befinden sich zwei fahrzeuge
a man in a blue shirt washes a window high off the ground,ein mann in einem blauen oberteil putzt ein fenster hoch über dem boden
two people are walking down the street holding hands in the fall,zwei menschen gehen im herbst händchenhaltend die straße entlang
a toddler in a white and yellow outfit is reaching for a yellow paper japanese lantern on a wooden fence,ein kleinkind in einem weißen und gelben outfit greift nach einer gelben japanischen laterne aus papier auf einem holzzaun
a person working at a food cart,jemand arbeitet an einem imbisswagen
dancers practice dance positions with each other with some using a safety rail for assistance,tänzer üben gemeinsam tanzpositionen einige nutzen dabei zur erleichterung ein sicherheitsgeländer
a woman in a blue jacket is walking along a road,eine frau in einer blauen jacke geht eine straße entlang
a man wearing an indian vest playing the drums,ein mann mit einer indianischen weste spielt schlagzeug
men in uniform with flags are gathered outdoors for a ceremony,männer in uniform mit fahnen sind im freien für eine zeremonie versammelt
five ice hockey player from the same team are celebrating on the rink,fünf eishockeyspieler eines teams feiern auf dem spielfeld
a young boy tilted forward in a child &apos;s swing,ein kleiner junge sitzt nach vorn gebeugt auf einer kinderschaukel
two dogs are on a trail in the woods while two people are looking at them from behind,zwei hunde laufen auf einem waldweg und werden von zwei personen hinter ihnen beobachtet
a woman is holding coffee and her cellphone and appears to be looking for someone,eine frau hält einen kaffee und ihr mobiltelefon in hand und scheint nach jemandem ausschau zu halten
a large bird flaps its wings above the water,ein großer vogel schlägt seine flügel über dem wasser
five men in black and yellow clothing staring up and a woman holding a bike standing behind them,fünf männer in schwarzer und gelber kleidung schauen nach oben und eine frau mit einem fahrrad steht hinter ihnen
a woman in a white shirt and pink pants is standing behind a table laid out with cake strawberries and punch,eine frau mit einem weißen oberteil und rosafarbenen hosen steht hinter einem tisch auf dem kuchen erdbeeren und punsch angerichtet sind
five people standing at a modern rock concert rehearsal,fünf personen befinden sich bei einer rockkonzert-probe
a man standing on the street,ein mann der auf der straße steht
cyclists compete in a race that takes them on a dirt mountain road,fahrradfahrer treten in einem rennen gegeneinander an welches sie auf einen unbefestigten bergweg führt
two men both wearing white t-shirt are standing behind the counter both holding knives,zwei männer mit weißen t-shirts stehen hinter der theke und halten messer
a man is standing on a busy sidewalk wearing a brazil shirt and waving a brazil flag,ein mann der ein brasilien-t-shirt trägt und eine brasilianische flagge schwenkt steht auf einem belebten gehweg
an elderly man riding his bike with a large white building behind him,ein älterer mann auf seinem motorrad mit einem großen weißen gebäude im hintergrund
a man in an umbrella hat sits near a palm tree behind a group of shoppers,ein mann mit einer mütze mit schirmchen sitzt bei einer palme hinter einer gruppe einkäufer
a blond woman in heels strolls past the cemetery,eine blonde frau mit hohen absätzen geht an einem friedhof vorbei
a man is playing a dj game in an arcade,ein mann in einer arkade spielt ein dj-spiel
a young white man with a short beard rocks out on his guitar,ein junger weißer mann mit kurzem bart rockt auf seiner gitarre
a deep-sea diver is in full equipment studying a sea turtle,ein tiefseetaucher in kompletter ausrüstung beobachtet eine meeresschildkröte
a football or soccer team is celebrating a victory as one player jumps onto the back of another,eine fußballmannschaft feiert den sieg wobei ein spieler einem anderen auf den rücken springt
several people talking and spending time together in a room,mehrere menschen unterhalten sich in einem raum und verbringen zeit miteinander
a boy is pulling a wild face whilst waving cooking implements in his hands,eine junge mit kochutensilien in den händen zieht ein wildes gesicht
two men with a dolly on an escalator,zwei männer mit einem transportwagen auf einer rolltreppe
indian women playing musical chairs with white woman,eine indische frau spielt mit einer hellhäutigen frau reise nach jerusalem
an old man and a young woman embrace on a couch,ein alter mann und eine junge frau umarmen sich auf einem sofa
a person with brown pants is sitting around a fenced area that has sparks flying,eine person mit braunen hosen sitzt neben einem eingezäunten bereich in dem funken fliegen
a fat guy in pink drinking beer,ein dicker mann in pink trinkt bier
two females dance together in front of a band and a banner which says &quot; live in concert &quot;,zwei frauen tanzen zusammen vor einer musikgruppe und auf einem plakat steht &quot; live in concert &quot;
a young boy is writing on a chalkboard,ein junge schreibt auf eine tafel
a crowd gathers around a woman clasping her head,eine menschenmenge hat sich um eine frau versammelt die sich an den kopf greift
a man wears a black helmet and is on a black skateboard,ein mann trägt einen schwarzen helm und steht auf einem schwarzen skateboard
travelers on a very cold day hiking,reisende beim wandern an einem sehr kalten tag
a man picks up and swings a young child while another child looks on,ein mann hebt und schwingt ein kleines kind während ein anderes kind zuschaut
pedestrians and a bicyclist leisurely move past a modern building,fußgänger und radfahrer bewegen sich gemächlich an einem modernen gebäude vorbei
two people are competing in a motorcycle race,zwei personen treten bei einem motorradrennen gegeneinander an
a military ceremony is attended by boy scouts,eine militärische zeremonie wird von pfadfindern besucht
a woman walking beside a purple wall,eine frau geht neben einer violetten wand entlang
a shabby looking man stands near a carriage full of crates,ein schäbig aussehender mann steht in der nähe eines wagens voller kisten
a boy smiles and swims in blue water,ein junge lächelt und schwimmt im blauen wasser
three people are trying to open a large door to a closed shop,drei leute versuchen eine große tür zu einem geschlossenen geschäft zu öffnen
a dark-haired man sitting at a table with a book and drinks,ein dunkelhaariger mann sitzt mit einem buch an einem tisch und trinkt etwas
a man smiling for the camera standing in a parking lot,ein mann steht auf einem parkplatz und lächelt für die kamera
a woman is reading next to a water fountain,ein frau liest neben einem springbrunnen
a child jumps up near a body of water,ein kind springt in der nähe eines gewässers hoch
a small dog jumps over a yellow beam,ein kleiner hund springt über einen gelben balken
a guy in racing gear gets air while riding a yellow atv,ein mann in rennkleidung springt mit seinem gelben geländefahrzeug in die luft
a man with glasses and a green beanie falling asleep on the subway,ein mann mit brille und grüner mütze schläft in der u-bahn ein
a young boy taking a picture through the glass and two females chatting,ein kleiner junge macht ein foto durch ein glas und zwei frauen unterhalten sich
a group of people are rowing a boat in a contest,eine gruppe von menschen rudert bei einem wettrennen in einem boot
a little girl sits at a table outdoors and eats watermelon,ein kleines mädchen sitzt an einem tisch im freien und isst wassermelone
a boy sits in a toy car while drinking from his sippy cup,ein junge sitzt in einem spielzeugauto und trinkt aus seiner flasche
the two men are riding horses to chase a white horse,zwei reiter jagen ein weißes pferd
a woman in black and high heels with a red bag is walking,ein schwarz gekleidete frau mit hochhackigen schuhen und einer roten tasche geht vorbei
a group of people standing next to a &quot; no truck &apos;s &quot; sign and a yellow street sign,eine gruppe von personen neben einem schild mit einer aufschrift und einem gelben straßenschild
people are walking down a busy city street,menschen laufen eine belebte städtische straße entlang
a man wearing a gray shirt resting his head on a table,ein mann in einem grauen hemd hat seinen kopf auf einen tisch gelegt
two men one being john mccain and one woman sitting in red rolling chairs next to a white sign with a blue letter d and a number 5 on it,zwei männer von denen einer john mccain ist und eine frau sitzen in roten rollenstühlen bei einem weißen schild mit einem blauen d und der zahl 5 darauf
young women and children in a village with a single woman focused on the camera,junge frauen und kinder in einem dorf wobei eine einzelne frau in die kamera blickt
a man does a jump trick on a bike,ein mann macht ein sprung-kunststück auf einem fahrrad
a woman in a blue shirt and black pants walks down a road,eine frau mit blauem oberteil und schwarzen hosen geht eine straße entlang
man in white shirt and tan shorts doing a trick on a skateboard,ein mann in einem weißen hemd und hellbraunen shorts macht ein kunststück auf einem skateboard
a man and a woman are sitting on the floor working with craft items,ein mann und eine frau sitzen auf dem boden und arbeiten mit werkzeugen
an audience of children are smiling and pointing,kinder im publikum lächeln und zeigen auf etwas
a tourist boat on a river by a fake old building,ein touristen-boot auf einem fluss bei einem gefälschten alten gebäude
a woman with glasses drinking from a shot glass,eine frau mit brille die aus einem schnapsglas trinkt
opposing players challenge each other in a game of ultimate frisbee,gegnerische spieler wetteifern bei einem ultimate frisbee-spiel
three dancers wearing red sashes perform on a darkened stage,drei tänzer tragen rote schärpen und treten auf einer verdunkelten bühne auf
people are walking down a walkway surrounded by buildings,leute gehen einen gang der von gebäuden umgeben ist herunter
a man in a yellow vest is smoking and working in a field,ein mann mit gelber weste raucht und arbeitet auf einem feld
photojournalist on a motorcycle following marathon runners one wearing a green shirt and shoes the other fluorescent orange with blue shoes,ein fotojournalist auf einem motorrad folgt marathonläufern von denen einer ein grünes oberteil und grüne schuhe trägt und der andere ein leuchtoranges oberteil und blaue schuhe
a glassblower is crafting a beautiful piece of art in his fire,ein glasbläser stellt ein schönes kunstwerk in seinem feuer her
a man is about to be tackled in the rugby game,ein mann ist kurz davor in einem rugbyspiel angegriffen zu werden
a female and two males in a classroom,eine weibliche und zwei männliche personen in einem klassenzimmer
a little girl is standing next to another little girl who is taking a photograph,ein kleines mädchen steht neben einem anderen kleinen mädchen das ein foto macht
a little girl with brown hair is blowing the petals off of a flower,ein kleines mädchen mit braunen haaren bläst auf die blütenblätter einer blume
a half naked man is sleeping on his chair outdoors,ein halbnackter mann schläft draußen auf seinem stuhl
a woman is driving her car with two dogs in the backseat,eine frau fährt auto und auf der rückbank sitzen zwei hunde
a man in blue speedos is holding black goggles,ein mann in blauer speedo-badehose hält eine schwarze schwimmbrille in der hand
a man is looking into a telescope,ein mann schaut in ein teleskop
children playing in a pool,kinder spielen im schwimmbecken
a man dressed in white plays a guitar,ein mann in weiß gekleidet spielt eine gitarre
a gathering of people around two long tables set with different colored bowls and plates,eine versammlung von menschen um zwei lange tische die mit schüsseln und tellern in verschiedenen farben gedeckt sind
a man wearing an orange jersey and a woman wearing brown are playing a board game,ein mann in einem orangen oberteil und eine braun gekleidete frau spielen ein brettspiel
children and their parents climbing a metal tower,kinder erklimmen mit ihren eltern einen turm aus metall
the oakland athletics player trying to turn a double play as the orioles base runner attempts to break it up,der spieler der oakland athletics versucht einen double play während der baserunner der orioles versucht diesen zu unterbrechen
a man doing an acrobatic move on the seashore,ein mann macht eine akrobatische bewegung an der küste
after a sandstorm a maintenance worker cleaned debris from the historic ruins,nach einem sandsturm entfernt ein mitarbeiter des wartungspersonals schmutz von den historischen ruinen
a young family sits on steps enjoying the day,eine junge familie sitzt auf einer treppe und genießt den tag
a ballerina is dancing in a dark rustic environment,eine ballerina tanzt in einer dunklen rustikalen umgebung
orange dog walks in shallow water,orangefarbener hund läuft im seichten wasser
the mother watches her baby play with the sunglasses by the window,die mutter sieht zu wie ihr baby neben dem fenster mit der sonnenbrille spielt
a woman is reading a piece of paper aloud as a man stands behind her,eine frau liest aus der zeitung vor während ein mann hinter ihr steht
two women are at atms getting money out and the lady on the left has two children,zwei frauen heben geld von einem automaten ab und die frau links hat zwei kinder
four men looking at a large sign,vier männer blicken auf ein großes schild
group of girls hanging out on a wet sandy beach,mehrere mädchen die an einem nassen sandigen strand abhängen
a woman washing her minivan at a self-service car wash,eine frau wäscht ihren minivan in einer waschanlage
a person in winter gear is riding a bike near an intersection,eine person in winterausrüstung fährt in der nähe einer kreuzung motorrad
an elderly woman sits on the steps of a large monument,eine ältere frau sitzt auf den stufen eines großen denkmals
two women are laying upside down on a white bed,zwei frauen liegen verkehrt herum auf einem weißen bett
a couple stand and looks at the ocean,ein paar steht da und blickt auf das meer
a girl in a pink checkered coat walks down a hallway followed by another younger girl,ein mädchen in einem pinkfarbenen karierten mantel geht gefolgt von einem jüngeren anderen mädchen einen flur entlang
a man playing the guitar while smoking a cigarette,ein mann spielt gitarre und raucht dabei eine zigarette
a dog with a muzzle and blue jacket runs around the yard,ein hund mit maulkorb in einer blauen hundejacke rennt im hof herum
the four people are walking in the rain,die vier personen gehen im regen spazieren
a woman hula-hooping in a red shirt,eine frau mit rotem t-shirt benutzt einen hula hoop reifen
a man rocks out on stage with his guitar,ein mann rockt mit seiner gitarre auf der bühne
a white man with a blue shirt is on stage singing a song his black guitar player is standing behind him providing the music,ein weißer mann mit einem blauen t-shirt steht auf der bühne und singt ein lied während sein schwarzer gitarrist hinter ihm steht und die hintergrundmusik spielt
five women wearing scarves on their heads are talking,fünf frauen mit kopftüchern und unterhalten sich
a young girl plays peek-a-boo covering the eyes of the man on whose shoulders she sits,ein junges mädchen spielt peek-a-boo indem sie die die augen des mannes zuhält auf dessen schultern sie sitzt
a guy is driving a three wheeled motorcycle,ein mann fährt ein dreirädriges motorrad
a person skis in the snow snow flies behind,eine person fährt ski schnee wirbelt hinter ihr herum
two women are sitting on a park bench talking to each other,zwei frauen die auf einer parkbank sitzen unterhalten sich
a man is playing a guitar on the sidewalk,ein mann spielt auf einem gehweg gitarre
four women dressed in white midriff displaying outfits flap a white sheet in the air,vier frauen in bauchfreien outfits lassen ein leintuch in der luft flattern
a male with a hat is juggling four balls,eine männliche person mit einem hut jongliert vier bälle
a girl stands on the grass holding a rolling box wearing a white lawn hat and sunglasses,ein mädchen das eine mütze die aussieht wie ein schaf und eine sonnenbrille trägt steht auf dem gras mit einem rollkoffer
a man wearing glasses is shaving in a mirror,ein mann mit brille rasiert sich vor einem spiegel
a young man plays a grand piano while others visit nearby,ein junger mann spielt flügel während andere in der nähe schwatzen
a brown dog jumping off a rock into a lake,ein brauner hund springt von einem felsen in einen see
a man preparing his net for fishing,ein mann bereitet sein netz zum fischen vor
a bearded man wearing a painter &apos;s cap is playing the xylophone on the side of a busy walkway,ein bärtiger mann mit einem malerhut spielt xylophon auf einem geschäftigen gehweg
a man sitting on the floor next to a broom an bucket,ein mann sitzt auf dem boden neben einem besen und einem eimer
a fleet of small fishing boats coming to shore,eine flotte kleiner fischerboote nähert sich der küste
two older men standing in front of a store of sorts,zwei ältere männer stehen vor einem geschäft
a skateboarder in black clothes jumps over a bench,ein skateboardfahrer in schwarzer kleidung springt über eine bank
an older black woman is operating her electric wheelchair,eine ältere schwarze frau bedient ihren elektrorollstuhl
a group of men cheer with styrofoam cups,eine gruppe von männern stößt mit styroporbechern an
a young man wearing a blue shirt is in midair with a bicycle,ein junger mann in einem blauen oberteil befindet sich mit seinem fahrrad komplett in der luft
a man in a bowling alley getting ready to throw the bowling ball down the lane,ein mann in einer bowlinghalle bereitet sich darauf vor die bowlingkugel zu werfen
an asian girl in a cap is holding a water bottle,ein asiatisches mädchen das eine kappe trägt hält eine wasserflasche in der hand
a young man lights a lighter while another looks on,ein junger mann zündet ein feuerzeug an ein anderer schaut zu
two women and a man are standing next to a picnic table covered in food and water,zwei frauen und ein mann stehen neben einem picknicktisch der mit essen und wasser bedeckt ist
a man and a woman wearing red embracing,ein mann und eine frau die rot tragen umarmen sich
a little girl riding a toy horse during christmas,ein kleines mädchen reitet auf einem spielzeugpferd an weihnachten
a crowd shot of people lined up in front of a theater,eine aufnahme einer menschenmenge die vor einem theater schlange steht
a fair in texas with many people,ein jahrmarkt in texas mit vielen menschen
a basketball player dribbles the ball while another blocks him and an official looks on,ein basketballspieler dribbelt mit dem ball und wird von einem anderen spieler geblockt während ein schiedsrichter ihnen zuschaut
a group of people are riding in a horse-drawn cart,eine gruppe von menschen fährt in einem pferdewagen
a statue of an angel mounted to the side of a building,eine engelsstatue ist an der seite eines gebäudes angebracht
a young boy laying on a hospital bed with his leg over the side,ein kleiner junge liegt auf einem krankenhausbett und lässt ein bein seitlich herunterhängen
a lot of people gather together to get some free advice and information,eine große anzahl an menschen kommt zusammen um kostenlos rat und informationen einzuholen
evening soccer game with one side about to score,bei einem fußballspiel am abend ist eine mannschaft kurz davor ein tor zu schießen
a black and white dog is walking with a blue frisbee in its mouth,ein schwarz-weißer hund läuft mit einer frisbee im maul
two men in military uniforms are standing at a railing while one talks on the phone,zwei männer in militäruniformen von denen einer telefoniert stehen an einem geländer
snowboarder wearing an orange jacket and carrying a sky-blue bag snowboards toward a previously traveled trail,ein snowboarder der eine orange jacke und eine himmelblaue tasche trägt folgt einer bereits vorhandenen spur
a woman is manning a grill with some meat,eine frau bedient einen grill mit etwas fleisch darauf
a man wearing a gray suit is delivering a speech,ein mann in grauem anzug hält eine rede
a man walking in front of a building with graffiti on it,ein mann läuft an einem gebäude mit graffiti vorbei
the men in the long dress wardrobe are putting on a show,die männer in den langen gewändern führen eine show auf
a girl is standing and another one is sitting by a tree,ein mädchen steht und ein weiteres sitzt bei einem baum
a man in a blue shirt walking down a mountain road with goats in his way,ein mann in einem blauen hemd geht eine bergstraße mit ziegen in seinem weg herunter
an african child with a wooden stool on his head and another african child behind him,ein afrikanisches kind mit einem holzstuhl auf seinem kopf und ein anderes afrikanisches kind ist hinter ihm
a young man with ginger hour is playing a game of pool,ein junger mann mit rotblondem haar spielt billard
man bowling in a dimly lit bowling alley,ein mann spielt bowling auf einer schwach beleuchteten bowlingbahn
a group of people are conversing while a man in a white shirt takes notes,eine gruppe von menschen unterhält sich während sich ein mann in einem weißen oberteil notizen macht
a person on a motorcycle popping a wheelie in a parkinglot,ein mensch auf einem motorrad fährt auf einem parkplatz nur auf dem hinterrad
the black and white dog is herding the sheep,das schwarz-weiße hund hütet die schafe
a snowboarder uses a ramp to grind a rail,ein snowboardfahrer nutzt eine rampe um über ein geländer zu grinden
a dog is playing catch on the grassy plain,ein hund spielt auf der wiese fangen
two men play their instruments while a third sings,zwei männer spielen auf ihren instrumenten und ein dritter singt
a food vendor happily serves his hungry customers,ein essensverkäufer bedient glücklich seine hungrigen kunden
a crowd of people attend an outdoor event,eine menschenmenge besucht eine outdoor-veranstaltung
a girl in a white tank top is motioning for someone to come closer,ein mädchen in einem weißen oberteil deutet jemandem an näher zu kommen
three female workers in a medical facility looking at printed material,drei weibliche angestellte in einer medizinischen einrichtung betrachten unterlagen
two men are removing tree branches,zwei männer räumen zweige weg
a drum furiously hammers out notes on his instruments as he plays on stage,ein schlagzeuger spielt auf der bühne wie besessen auf seinem instrument
two kids and a man are walking by a poorly put together shack,zwei kinder und ein mann gehen an einer schlecht zusammengebauten hütte vorbei
a group of people walk in front of a mountain,mehrere gehende personen vor einem berg
three boys busting bricks into very small pieces,drei jungen die ziegel in sehr kleine stücke brechen
two young boys are playing volleyball,zwei kleine jungen spielen volleyball
a football player in red and white is holding both hands up,ein football-spieler in rot-weiß hält beide hände in die höhe
a man is jumping in the air in front of a coastal scene with water and mountains in the background,ein mann springt vor einer küstenlandschaft mit wasser und bergen im hintergrund in die luft
a girl with a cellphone is standing underneath a street sign,ein mädchen mit einem mobiltelefon steht unter einem straßenschild
a boy in a blue jacket points something out to his mother also wearing a jacket as they walk through a colorful carnival scene,ein junge in einer blauen jacke zeigt seiner mutter die ebenfalls eine jacke anhat etwas als sie über einen farbenfrohen faschingsmarkt gehen
an artist working on an ice sculpture,ein künstler arbeitet an einer eisskulptur
a woman is jumping in the air on a tree-lined trail on an autumn day,eine frau springt an einem sonnigen tag auf einem von bäumen gesäumten weg in die luft
a woman standing next to a photographer is handing a paper to a man wearing a green shirt,eine frau die neben einem fotografen steht gibt einem mann in grünem t-shirt ein papier
a man handles his near empty drink while laughing at something on the other side of the table,ein mann hält sein fast leeres getränk und lacht jemandem auf der andere seite des tisches zu
a small baby in a baby swing that has a yellow dress on,ein kleines baby in einer babyschaukel hat ein gelbes kleid an
a man with a ponytail and cutoff shorts is hula hooping,ein mann mit pferdeschwanz und abgeschnittenen shorts macht hula-hoop
preparing a fish dinner for the family,vorbereitung eines fischessens für die familie
a waitress at a restaurant is cleaning a table,eine bedienung in einem restaurant putzt einen tisch
a child with her head in a cut out of a cow,ein kind hat den kopf durch ein loch in einer hölzernen kuh gesteckt
a man in a gray shirt and black pants is playing tennis,ein mann in grauem hemd und schwarzer hose spielt tennis
man looking at a woman that is smoking on the sidewalk,mann beobachtet eine frau die auf dem gehweg raucht
a farmer fertilizing his garden with manure with a horse and wagon,ein landwirt düngt seinen garten mithilfe von pferd und wagen mit dung
a man on a bicycle is talking to a woman who is sitting behind some tables,ein mann auf einem fahrrad spricht mit einer frau die hinter einigen tischen sitzt
three children are sitting around a table reading books,drei kinder sitzen um einen tisch herum und lesen bücher
a large group of women wearing pink shirts and black pants have their arms raised with the right arm outstretched and the left arm bent inwards,eine große gruppe frauen in rosafarbenen shirts und schwarzen hosen strecken ihre arme in die luft wobei der rechte arm ausgestreckt und der linke arm nach innen abgewinkelt ist
a young man on a skateboard performing a trick atop a paved hill,ein junger mann auf einem skateboard führt auf einem gepflasterten hügel einen trick aus
a man jumping with a skateboard under a bridge,ein mann springt mit einem skateboard unter einer brücke
a woman visiting some sort of conference creates a project on a ipad,eine an einer art konferenz teilnehmende frau erstellt ein projekt auf einem ipad
the goalie is fleeing the defender to try to get the ball to a teammate,der torhüter entfernt sich vom verteidiger um den ball an einen mannschaftskollegen abzuspielen
a man with black hair is cutting fish,ein mann mit schwarzen haaren schneidet fisch
young girl in a pink shirt with toys all around her,ein kleines mädchen in einem rosafarbenen oberteil inmitten von spielzeug
an opposite side street-shot of applebee &apos;s and dave and buster &apos;s restaurants,eine von der gegenüberliegenden straßenseite gemachte aufnahmen von applebee &apos; s und dave and buster &apos; s restaurants
this young man is wearing a black cap and gown and he is holding onto his cap,der junge mann trägt eine schwarze kappe und ein gewand und hält seine kappe fest
riders on a roller coaster hold their hands up in excitement as the train races down the tracks,leute die auf einer achterbahn fahren halten ihre hände vor aufregung in die höhe während der zug auf den gleisen rast
four people wearing snowshoes jumping on a snowy mountain with trees in the background,vier menschen mit schneeschuhen springen auf einem schneebedeckten berg mit bäumen im hintergrund in die luft
people climb an odd barred structure,leute klettern an einem seltsamen abgesperrten bauwerk
a child wearing a pirates costume holds up a skull and crossbones sign,ein kind in einem piratenkostüm hält einen schädel und ein totenkopfsymbol hoch
a jazz cover band plays under hot strobe lights,ein jazz-cover-band spielt unter heißen stroboskoplichtern
the two women and the boy are sitting,zwei frauen und ein junge sitzen
man in red jacket giving a thumbs-up with one hand a holding ticket in other,mann in roter jacke zeigt mit einer hand den daumen hoch und hält in der anderen ein ticket
two dogs play in shallow water,zwei hunde spielen in flachem wasser
two men use their skateboards in the middle of the street,zwei männer fahren mit ihren skateboards in der mitte der straße
a girl in ping and a boy in blue walk through a forest trail,ein rosa gekleidetes mädchen und ein blau gekleideter junge gehen einen waldpfad entlang
a woman in a plaid shirt near a city street with her thumb upward,eine frau in einer karierten bluse an einer straße mit nach oben gerecktem daumen
